dateAdded,dateUpdated,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,Big4
2016-03-27T19:04:40Z,2018-04-26T02:11:48Z,2612 W Morgan Ave,Fast Food Restaurant,Milwaukee,US,us/wi/milwaukee/2612wmorganave/-1161002137,42.98166,-87.94735,McDonald's,53221,WI,McDonalds
2015-10-23T03:06:09Z,2018-04-26T02:11:37Z,5421 New Albany Rd W,Fast Food Restaurants,New Albany,US,us/oh/newalbany/5421newalbanyrdw/-1161002137,40.0949,-82.824,McDonald's,43054,OH,McDonalds
2016-04-02T04:45:18Z,2018-04-26T02:11:32Z,6740 E Broad St,Fast Food Restaurant,Columbus,US,us/oh/columbus/6740ebroadst/-791445730,39.98292,-82.81732,Wendy's,43213,OH,Wendys
2016-03-29T04:51:41Z,2018-04-26T02:11:30Z,77 Granville St,Fast Food Restaurant,Columbus,US,us/oh/columbus/77granvillest/-791445730,40.0186,-82.8788,Wendy's,43230,OH,Wendys
2015-10-20T03:14:37Z,2018-04-26T02:11:11Z,2516 Hilliard Rome Rd,Fast Food Restaurant and Burger Joint,Hilliard,US,us/oh/hilliard/2516hilliardromerd/-791445730,40.00177576,-83.15355396,Wendy's,43026,OH,Wendys
2015-10-23T03:12:57Z,2018-04-26T02:11:11Z,811 Kifer Rd,Fast Food Restaurant,Sunnyvale,US,us/ca/sunnyvale/811kiferrd/-864103396,37.375637,-122.01328999999998,Taco Bell,94086,CA,Taco Bell
2017-06-27T06:37:15Z,2018-04-26T02:10:33Z,1724 W 5th Ave,Fast Food Restaurant,Columbus,US,us/oh/columbus/1724w5thave/-791445730,39.98944,-83.05230999999999,Wendy's,43212,OH,Wendys
2016-03-31T02:29:50Z,2018-04-26T02:10:30Z,5152 N High St,Fast Food Restaurant,Columbus,US,us/oh/columbus/5152nhighst/-864103396,40.0677,-83.0185,Taco Bell,43214,OH,Taco Bell
2017-06-30T02:06:05Z,2018-04-26T02:10:21Z,1991 Stantonsburg Rd,Fast Food Restaurants,Greenville,US,us/nc/greenville/1991stantonsburgrd/-864103396,35.606751,-77.39639100000001,Taco Bell,27834,NC,Taco Bell
2016-03-21T00:26:10Z,2018-04-26T02:10:02Z,430 State St,Fast Food Restaurants,Erie,US,us/pa/erie/430statest/-1161002137,42.130325,-80.086874,McDonald's,16501,PA,McDonalds
2016-01-06T01:26:15Z,2018-04-26T02:09:12Z,2200 Briarcrest Dr,Fast Food Restaurants,Bryan,US,us/tx/bryan/2200briarcrestdr/-1161002137,30.65917,-96.33197,McDonald's,77802,TX,McDonalds
2017-06-29T02:02:00Z,2018-04-26T02:09:04Z,75 Commerce Cir,Fast Food Restaurant,Bristol,US,us/pa/bristol/75commercecir/-1161002137,40.099377000000004,-74.872876,McDonald's,19007,PA,McDonalds
2016-04-05T02:41:47Z,2018-04-26T02:09:01Z,4316 Buffalo Rd,Fast Food,Erie,US,us/pa/erie/4316buffalord/-1161002137,42.146291,-80.00426,McDonald's,16510,PA,McDonalds
2017-06-19T15:31:05Z,2018-04-26T02:08:56Z,1284 S Market St,Fast Food Restaurants,Elizabethtown,US,us/pa/elizabethtown/1284smarketst/-1161002137,40.139348,-76.589311,McDonald's,17022,PA,McDonalds
2016-11-18T15:50:53Z,2018-04-26T02:08:55Z,15 5th St,Fast food restaurants,Ellwood City,US,us/pa/ellwoodcity/155thst/-1161002137,40.8619,-80.286889,McDonald's,16117,PA,McDonalds
2017-06-19T15:40:17Z,2018-04-26T02:08:33Z,1930 Street Rd,Fast food restaurants,Bensalem,US,us/pa/bensalem/1930streetrd/-1161002137,40.096612,-74.945375,McDonald's,19020,PA,McDonalds
